Campaign Shortname;Campaign Longname;Description;Description - DRAFT;NASA Earth Science Focus Areas;Scientific Objective Focus Phenomena;Region of Campaign Description;Campaign Spatial Bounds (N,S,E,W lat/lon);Season(s) of Study;Campaign Start Date (date of first deployment start);Campaign End Date (date of last deployment end);Number of Deployments;Significant Events;Funding Agency;NASA Funding Program;Responsible NASA Funding Program Lead;Responsible NASA Campaign or Project Lead;Data Manager/ Technical Contact (person or NID);Platform Types (limited fields tab);ADMG's Aircraft Shortames (Camp/Plat/Inst tab);Aircraft-based Instruments (consistent w/ C/D/P/I tab);Non-Aircraft Platform Types;Non-airborne Instruments;Total Flights;Campaign Geophysical Phenomena Studied (from GCMD variable list);Campaign Geophysical Phenomena UUID - internal 4 digit codes;Campaign DOI;Campaign Logo - Image Name;Campaign Logo - Image Location (URL);Campaign Logo - Image Owner (Should be NASA);Campaign Publication(s);Supported NASA Mission(s);Number of Published Data Products;Campaign Data Total Volume (Gb);Assigned Archive Repository (DAAC);Repository/Primary Website (DAAC homepage);Project/Secondary Website (not a DAAC);Other Campaign Resources;non-NASA-led campaign: NASA was a Significant Participant;Partner Organizations;Partner Website(s);Campaign is Ongoing (True or False);Campaign's GCMD Projects UUID;Campaign notes;Notes/ Notes to the Reviewer;Working;Metadata Collection Completion Date;Checked
CLASIC07;Cloud and Land Surface Interaction Campaign 2007;;CLASIC07 took place over the Southern Great Plains in Oklahoma during the summer of 2007. The objective was to study how land surface processes influence cumulus convection. Aircraft were used to collect data while ground stations collected ground truth. Flights were also coordinated with satellites. CLASIC07 occurred at the same time as the DoE campaign CHAPS.;Global Water & Energy Cycle;radiation budget, hydrologic cycle, cumulus convection, agriculture, surface latent heat flux, sensible heat flux;Oklahoma;36, 34.7, -96.05, -98.8;boreal summer;6/11/2007;7/6/2007;1;6/12/2007, 6/21/2007, 6/28/2007;NASA;Water and Energy Cycle Program;Jared Entin;Mark. A Miller;NID;Aircraft, Land-based Platforms, Satellites;ER-2, Twin Otter, HOP, Cessna 206, J-31, P-3;ER-2: CRS, EXRAD, CPL, MAS, PSR, Twin Otter: CPC, PCASP, CAPS, FSSP, Gen-AtmsState, TSI, PSAP, CCN, TDMA, PDI, Gen-Chemistry, PALS, HOP: AIMMS-20, Licor 7500, Cessna 206: Gen-Chemistry, J-31: CAR, P-3: PSR;Ground sites, Aqua, CALIPSO;NID;;cropping systems, irrigation, heat flux, cumulus, latent heat flux;1012, 1013, 1237, 1451, 1525;NID;;;;NID;NID;7;;NSIDC;NID;;"https://acrf-campaign.arm.gov/clasic/
https://www.arm.gov/publications/programdocs/doe-sc-arm-0704.pdf?id=55";N/A;DoE;https://www.energy.gov/;FALSE;074f1aec-503d-4830-8d7c-3ece00ddf37d;;;SB;;
CLPX;Cold Land Processes Experiment;;CLPX took place from 2002-2003 and sought to expand understanding on the water cycle as it relates to snow, water fluxes, melting, and frozen water. The goal was to develop and improve models for satellite sensors The deployments covered both the wet and dry seasons that occur in winter and early spring in order to collect data in frozen conditions and thawing conditions. The campaign took place in the Rocky Mountains of Colorado. Data were collected by various airborne, satellite, and ground instruments.;Global Water & Energy Cycle;Snow, snow melt, thawing, snow water equivalent, model improvement, remote sensing, water cycle;Rocky Mountains, Colorado;41, 39, -104, -108;boreal winter, boreal spring, wet, dry;2/17/2002;4/1/2003;2;3/25/2003;NASA;Terrestrial Hydrology, Earth Observing System, Airborne Science, Earth Science Enterprise;Mike Jasinski;Donald Cline;NID;Aircraft, Land-based Platforms, Satellites, Models;DC-8, P-3, AC690A, Twin Otter;DC-8: AIRSAR, POLSCAT, DMR, PSR, P-3: DMR, PSR, AC690A: GAMMA, Twin Otter: AVIRIS;Models, AQUA, tower sites;Probes, R.M. Young Wind Monitor, Vaisala HMP45C, Judd Communications depth sensor, Kipp and Zonen CNR 1 net radiometer, Kipp and Zonen NR Lite net radiometer, Stevens Vitel Hydra Probe, Campbell Scientific Model 237 leaf wetness sensor, Apogee IRTS-P5 infrared thermocouple, Vaisala PTB101B pressure transmitter, Belfort weighing rain gauge;91;soil temperature, snow, snow density, snow depth, snow melt, snow water equivalent, freeze/thaw;1106, 1538, 2430, 2431, 2434, 2438, 3879;NID;NID;NID;NID;https://journals.ametsoc.org/doi/pdf/10.1175/2008JHM883.1;NID;34;;NSIDC;https://nsidc.org/data/clpx/index.html;;"https://www.nohrsc.noaa.gov/~cline/clpx.html
https://nsidc.org/data/clpx/clpx_data.html
https://www.nasa.gov/centers/goddard/news/gsfc/earth/pictures/2003/0215clpx03/clpxfact.html
https://www.nasa.gov/centers/goddard/news/topstory/2003/0215clpx03.html";N/A;NOAA;https://www.noaa.gov/;FALSE;bd3a3836-034d-4e19-84f0-96cec3473596;;"data not in CMR/Earthdata Search
Couldn't find a logo";SB;4/8/2020;
CORAL;Coral Reef Airborne Laboratory;;CORAL was a campaign designed to study coral reefs in large sections using aircraft and water-based instruments. The campaign had deployments from 2016-2017 in various places, including Australia, Hawaii, the Mariana Islands, and briefly in Florida. CORAL studied the current health of coral reefs and the effects of pollution on the reefs. The imaging spectrometer in the aircraft’s payload allowed scientists to study much larger sections of coral reefs at one time than had been previously possible.;Carbon Cycle & Ecosystems;Coral reef, biodiversity, sea surface temperature, Photosynthetically available radiation, Aragonite saturation state, Significant wave height, Coastal development threat level, Marine pollution threat level, Overfishing threat level, Watershed pollution threat level, Integrated local threat level;Australia, Hawaii, Florida, Mariana Islands, Palau;[30, -30, 135, -155], [24, 24, -82, -82];year round;6/6/2016;5/28/2017;6;6/19/2016, 10/6/2016;NASA;EVS-2;Hal Maring;Eric Hochberg;NID;Aircraft, Water-based Platforms;G-IV;PRISM;Investigator;WETLabs;351;Biodiversity functions, lagoon, coral reef, reef, sea surface temperature, photosynthetically active radiation, significant wave height, ocean heat budget, ocean optics, spectral/engineering, marine geochemical processes;1863, 1968, 1984, 1986, 3089, 3076, 3097, 3065 , 3083, 3779, 3262;NID;;;;NID;NID;3;;OB.DAAC;https://oceancolor.gsfc.nasa.gov/projects/prism-coral/;;"https://coral.jpl.nasa.gov/about-coral, 
http://coral.bios.edu/";N/A;NID;NID;FALSE;;;"Data products still appear to be in the process of publishing. OB.DAAC has a banner on CORAL's page saying data will be published as it becomes available. OB.DAAC has more data products than ED Search
Note to reviewer: there is a PRISM in the GCMD list but it does not seem to be the same instrument, so I did not include it in the instruments tab.
Note to reviewer: see notes doc about number of flights";SB;;CW
CPEX;Convective Processes Experiment;;"The NASA Convective Processes Experiment (CPEX) aircraft field campaign took place in the North Atlantic-Gulf of Mexico-Caribbean Oceanic region during the early summer of 2017. This campaign hoped to collect data that can help to answer questions about convective storm initiation, organization, growth, and dissipation. The science objectives of the CPEX campaign were:

1.) Improve understanding of convective processes including cloud dynamics, downdrafts, cold pools and thermodynamics during initiation, growth, and dissipation. Determine what combinations of environmental structure, including moist entropy budgets, and convective properties such as vertical velocity and reflectivity profiles, result in rapid upscale growth of a convective system into a large organized mesoscale convective system (MCS), or alternatively, result in failure to grow or rapid decay.

2.) Obtain a comprehensive set of simultaneous wind, temperature, and moisture profiles, using wind lidar, microwave radiometer and sounder, and GPS dropsondes, conduct a quantitative evaluation of those profiles in the vicinity of scattered and organized deep convection, especially in the lowest 4 km, in all phases of the convective life cycle.

3.) Improve model representation of convective and boundary layer processes over the tropical oceans using a cloud-resolving, fully coupled atmosphere-ocean model. Assimilate the wind, temperature and humidity profiles from the wind lidar and dropsondes into the model, and quantify the impact of these detailed lidar wind profiles on the ability of the model to simulate the life cycle of convective systems over tropical oceans.";Weather;convection, cloud dynamics, cold pools, downdrafts, wind, temperature, moisture, rain, humidity, boundary layer;North Atlantic, Gulf of Mexico, Caribbean Ocean region;29, 16, -69, -97;boreal summer;5/25/2017;6/25/2017;1;6/15/2017,6/17/2017, 6/20/2017, 6/23/2017, 6/24/2017;NASA;Atmospheric Dynamics Program;Ramesh Kakar;Ed Zipser, Shuyi Chen;NID;Aircraft, Land-based Platforms, Model, Satellites;DC-8;DC-8: APR-2, DAWN, HAMSR, MASC, MTHP, Dropsonde;NID;NID;16;surface temperature, humidity, local winds, surface winds, upper level winds, boundary layer winds, line of sight winds, wind profiles, atmospheric winds;1285, 1305, 1344, 1351, 1360, 1352, 1381, 1385, 1386;https://doi.org/10.5067/ASDC_DAAC/CPEX/DAWN_DC8_1;CPEX Logo;https://cpex.jpl.nasa.gov/assets/images/cpex_logo.png;NASA;NID;NID;1;;ASDC;https://eosweb.larc.nasa.gov/project/cpex/cpex_dawn_dc8;;"https://cpex.jpl.nasa.gov/
https://pdfs.semanticscholar.org/c067/a898cea3933b62dc451e1ced3fd422325ed7.pdf
http://home.chpc.utah.edu/~u1147793/cpex/mcs_dropsonde_v2/20170601/mcs.html";N/A;NID;NID;FALSE;861ffbe4-50be-4e26-bfb3-8f7e9bd3c215;;"Review:
Campaign tab: I think Ed Zipser needs to be included as the ""project lead"" since he was the PI, Changed platform to ""land-based platform"" to folow LIM tab guidelines; Camp/Dep/Platfrm tab: Included some DC-8 info from ASP website, Put NID for deployment base";AS;3/24/2020;SB
DC3;Deep Convective Clouds & Chemistry;The Deep Convective Clouds and Chemistry (DC3) field campaign focused on the impacts of deep, mid-latitude continental convective clouds, including their dynamical, physical, and lightning processes, on upper-tropospheric composition and chemistry. DC3 had a single deployment over the majority of the continental US, with operations over Colorado, Texas, Oklahoma, and Alabama, during May and June of 2012. Three airborne platforms collected in situ and remote sensing observations that included: specific gas and chemical concentrations, cloud and precipitation particle microphysical properties, and temperature and water vapor content profiles. Ground-based observation sites included scanning radars and launched balloons. DC3 was funded through NASA’s Tropospheric Composition Program.;The Deep Convective Clouds and Chemistry (DC3) field campaign utilized instrumented aircraft platforms to investigate the impact of deep, midlatitude continental convective clouds, including their dynamical, physical, and lightning processes, on upper-tropospheric (UT) composition and chemistry. The two major goals of DC3 were 1.) quantify and characterize the convective transport of emissions and water to the upper troposphere within the first few hours of active convection, investigating storm dynamics and physics, lightning and its production of nitrogen oxides, cloud hydrometeor effects on scavenging of species, surface emission variability, and chemistry in the anvil, and2) quantify the changes in chemistry and composition in the upper troposphere after active convection, focusing on 12–48 h after convection and the seasonal transition of the chemical composition of the UT. Salina, Kansas is the base location for the three research aircraft and the project operations center at the Salina Airport, while a network of ground-based radar, lightning antenna stations and instrumentation in Colorado, Oklahoma and Alabama is used to support DC3 during the project from 15 May - 30 June 2012.;Atmospheric Composition, Weather;convection, lightning, upper troposphere composition, upper troposphere chemistry, convective clouds, atmospheric chemistry, convective storms;Northeastern Colorado, West Texas to Central Oklahoma, Northern Alabama;43, 24, -84, -107;boreal spring, boreal summer, warm;5/18/2012;6/30/2012;1;"5/21/2012, 5/29/2012, 
5/30/2012,6/6/2012, 6/7/2012, 6/11/2012, 6/21/2012, 
6/22/2012";NASA;Tropospheric Composition Program;Barry Lefer;Mary Barth;NID;Aircraft, Land-based Platforms, Models, Satellites;DC-8, Falcon, G-V;DC-8: CSD CL, TD-LIF, DACOM, AVOCET, PTR-MS, WAS, GT-CIMS, CIT-CIMS, DFGAS, ISAF, SAGA, ATHOS, BBR, SSFR, PI-Neph, CAFS, DLH, LARGE, CCN, AOP, DASH, PALMS, HD-SP2, AMS, DIAL-HSRL, SPEC, MMS, G-V: Picarro, TOGA, GT-CIMS, P-CIMS, CAMS, HARP, VCSEL, CLH, SMPS, WCN, UHSAS, CDP, 2D-C/P, 3V-CPI, DV, Falcon: TE49C, SR, Aerolaser, Picarro, Canisters, CI-ITMS, CPC, OPC, FSSP, UHSAS, PCASP, PCAP, SP-2;ground sites, balloons;ground-based radars, lightning mapping arrays, CHILL, PAWNEE, NCAR ISS, COLMA, SMART-R1, SMART-R2, NOXP, OKLMA, WTLMA, ARMOR, MAX, MIPS, NA-LMA;51;Chemical Composition, Lightning, Convection, Deep Convective Cloud System, Atmospheric Chemistry, Atmospheric Electricity, Convective Clouds/Systems (Observed/Analyzed);1123, 1210, 1362, 1452, 1207, 1212, 1458;;;;;https://journals.ametsoc.org/doi/10.1175/BAMS-D-13-00290.1;Weather, atmosphere;;;ASDC;https://eosweb.larc.nasa.gov/project/dc3/dc3_table;;"https://data.eol.ucar.edu/master_lists/generated/dc3/
https://www2.acom.ucar.edu/dc3
https://www.researchgate.net/publication/283226934_The_Deep_Convective_Clouds_and_Chemistry_DC3_Field_Campaign
https://www2.acom.ucar.edu/dc3/meetings";N/A;NSF, NOAA, DLR;"https://www.nsf.gov/
https://www.noaa.gov/
https://www.dlr.de/EN/Home/home_node.html";FALSE;3e0843ae-d6ed-4972-b164-53adc891563a;;Not listed in earthdata search?;AS;12/13/2019;
DISCOVER-AQ;Deriving Information on Surface Conditions from COlumn and VERtically Resolved Observations Relevant to Air Quality;;"Improve the interpretation of satellite observations to diagnose near-surface conditions relating to air quality.

In recent years, progress in reaching air quality goals has begun to plateau for many locations. Furthermore, near-surface pollution is one of the most challenging problems for Earth observations from space. However, with an improved ability to monitor pollution from satellites from DISCOVER-AQ, scientists could make better air quality forecasts, more accurately determine the sources of pollutants in the air and more closely determine the fluctuations in emissions levels. In short, the more accurate data scientists have at hand, the better society is able to deal effectively with lingering pollution problems. 

The campaign employed NASA aircraft to make a series of flights, with scientific instruments on board to measure gaseous and particulate pollution, beginning in 2011. The series of flights made by NASA Langley's King Air and NASA's P-3B commenced over Baltimore-Washington, D.C. in 2011. Other flights included Houston (2013); San Joaquin Valley, CA (2013); and Denver (2014). Measurements were taken in concert with ground observations in order to shed light on how satellites could be used to make similar, consistent measurements over time, with the ultimate goal of putting better data in the hands of policymakers and elected officials. 

DISCOVER-AQ was a collaboration among scientists at NASA’s Langley Research Center in Hampton, Va.; NASA’s Goddard Space Flight Center in Greenbelt, Md.; NASA’s Ames Research Center, outside San Francisco; and multiple universities";Atmospheric Composition;;Baltimore Washington DC, San Joaquin Valley CA, Houston TX, Denver CO;;;6/27/2011;8/10/2014;4;;EVS-1;;Hal Maring;James Crawford;Gao Chen;Aircraft, In-Situ Ground Based Platforms;P-3B - WFF, B-200 - LARC, Falcon - LARC, NCAR C-130, UMD 402B, B-200 UC-12B - LARC;LARGE, PDS, TD LIF, DLH, DACOM, DFGAS, N4CI, PTR-MS, AVOCET, HSRL, ACAM;Ground Sites, Beltsville HU Research Site, MDE Ambient Air Monitoring Network;PANDORA, lidar, AERONET, NATIVE, Tethered Balloon, MDE Ambient air monitoring network,;;;;;;;;;;;;ASDC;https://www-air.larc.nasa.gov/missions/discover-aq/discover-aq.html;;"https://discover-aq.larc.nasa.gov/
https://www.nasa.gov/mission_pages/discover-aq/overview/index.html";;;N/A;;;;;;;
FIFE;First International Satellite Land Surface Climatology Project (ISLSCP) Field Experiment;;"Large-scale climatology project, designed to improve understanding of carbon and water cycles; coordinating satellite, aircraft, and ground instruments. Use of satellites to measure the cycles

The first field campaign to include the coupled biosphere–atmosphere as part of a coordinated measurement strategy was the First
International Satellite Land Surface Climatology Project (ISLSCP)
Field Experiment [FIFE], with deployments in 1987 and 1989 to
the Konza Tallgrass Prairie near Manhattan, KS—see The FIFE and
BOREAS Study Areas on pages 8–9—to measure surface properties (e.g.,
vegetation and vegetation status, soil moisture) and fluxes of heat, moisture,
and trace species. The surface flux measurements were used as ground truth for
the development and evaluation of algorithms to estimate fluxes from satellite observations. FIFE’87 had four, two-week deployments2
involving 5 satellites, 10 aircraft,
and some 150 people. Researchers returned to Kansas two years later for a second
round of experimentation on the Konza Prairie—FIFE’89. Measurement approaches
were refined based on the results of FIFE’87 so as to resolve scientific questions that
arose during subsequent algorithm development to estimate fluxes from satellites.";Carbon Cycle & Ecosystems;;Central Kansas;;;6/9/1905;6/11/1905;2;;;;;;;Aircraft, In-situ Ground-based Platforms, Satellites;NASA: C-130/DC-8/U-2/Helicopter, NCAR King Air, de Havilland Canada NAE DH-6 Twin Otter, U-Wy King Air, NOAA Aerocommander;[variety of radiometers, scatterometers, scanners (C-130, Heli, NOAA Aero)], [Canada Twin O, NCAR King Air, UW King Air (flux measurements of heat, moisture, momentum and CO)];AVHRR, Landsat, SPOT, GOES, meteorological stations;;;;;;;;;;;;;ORNL;;;"https://daac.ornl.gov/FIFE/FIFE_About.html
https://earthdata.nasa.gov/user-resources/sensing-our-planet/linking-boundary-layer-circulations-and-surface-processes-during-fife-89-part-i-observational-analysis";;NSF, NOAA, NSERC, NAC (Canada), AAFC (Canada);N/A;;;;;;;
FIRE;First ISCCP (International Satellite Cloud Climatology Project) Regional Experiments;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GCPEx;GPM Cold Season Precipitation Experiment;The GPM Cold Season Precipitation Experiment (GCPEx) focused on ground validation observations to enhance GPM snowfall retrieval algorithm performance by characterizing the ability of active and passive microwave sensors to detect and estimate falling snow. GCPEx had a single deployment over southern Ontario, Canada, and the northern US, during the boreal winter of 2012. Airborne in situ microphysics data and multifrequency active and passive microwave observations were supplemented by ground sites that included multiple frequencies of radars, radiometers, disdrometers, and photographic and video imagery. GCPEx was a NASA PMM/GPM GV field campaign.;GCPEx addressed shortcomings in the GPM snowfall retrieval algorithm. Goal of GCPEx was to characterize the ability of multi-frequency active and passive microwave sensors to detect and estimate falling snow through the collection of microphysical property data, associated remote sensing observations, and coordinated model simulations of falling snow.;Atmospheric Composition, Weather, Global Water & Energy Cycle;snowfall, microphysics, clouds, frozen precipitation, precipitation;Ontario, Canada and northern portions of the United States (e.g., New York state, the New England area, etc.);50.4, 34.5, -61.52, -88.7;boreal winter;1/15/2012;3/4/2012;1;1/27/2012, 1/30/2012, 2/24/2012;NASA;PMM, GPM, GPM GV;Ramesh Kakar and Steven Neeck;Gail Skofronick-Jackson;NID;Aircraft, Land-based platforms;DC-8, Citation, CV-580;DC-8: APR-2, CoSMIR, Citation: King hot wire probe, 2D-C/P, CPI, CIP, CDP, HVPS-3, Nevzorov probe, RICE, Gen-AtmsState, CV-580: 2D-C/P, FSSP, OAP-2G-P, CCP, CPSD, Nevzorov probe, King hot wire probe, RICE, Gen-AtmsState, NAWX radar;Ground Sites;C-band Dual-Pol. Radar (scanning), D3R Ka/Ku Dual-Pol radar, X-band profiling radar, MRR2 profiling radar, W-band profiling radar, Dual-frequency LIDAR, Two-dimensional Video Disdrometer (2DVD), OTT Parsivel Disdrometers, POSS, Precipitation video imager, Pluvio2 Weighing Gauges, TPSS 3100 Hot Plate, Snow LWE system, Twice-daily Soundings, ADMIRARI Radiometer + MRR, Ground-Staring Radiometer, EC TP3000 Radiometer, EC surface meteorological instruments, Snow LWE probes, 50 MHz wind profiler, 915 MHz wind profiler, Snow particle photography;30;snow, cloud microphysics, precipitation rate, precipitation, snow water equivalent, solid precipitation;1538, 1414, 1529, 1542, 1530, 1539;https://doi.org/10.5067/GPMGV/GCPEX/DATA101;;;;https://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00262.1;GPM, PMM;44;;GHRC;https://ghrc.nsstc.nasa.gov/home/field-campaigns/gcpex;;https://pmm.nasa.gov/GCPEx, https://ghrc.nsstc.nasa.gov/home/field-campaigns/gcpex/instruments_2, https://pmm.nasa.gov/sites/default/files/document_files/GCPEx_science_plan_CURRENT.pdf, https://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00262.1, https://journals.ametsoc.org/doi/pdf/10.1175/JAMC-D-18-0203.1, https://journals.ametsoc.org/doi/pdf/10.1175/MWR-D-16-0072.1, https://journals.ametsoc.org/doi/pdf/10.1175/MWR-D-17-0081.1, https://ghrc.nsstc.nasa.gov/hydro/?project[0]=GCPEx;N/A;ECCC;https://www.canada.ca/en/environment-climate-change.html;FALSE;763d7d18-450d-459f-bfc9-2b791e35c678;;"finding detailed information about the Convair-580 aircraft and its instruments was VERY tedious. Just a heads up! :), Review:
[Campaign]: Spatial bounds weren’t included, PPM seems to have also helped fund the campaign, I couldn’t find anything about Scott Braun being the campaign lead. To me, it looks like Gail Skofronick-Jackson was, aircraft instruments should be organized by which aircraft they flew on, campaign doi wasn’t included, campaign publications is for overview papers, so only the BAMS article should be there, GPM and PPM could be listed as supported NASA missions, there are 44 data products according to earthdata, [Aircraft]: added GCPEx to Citation, Convair isn’t listed in this tab, [Instruments]: king hot wire probe was referred to as just hot wire in the campaign tab, CIP not listed, Rosemount icing probe not listed (it may be called RICE for short...i’m not 100% sure they’re the same thing though), 2D-P not listed, [Deployments]: changed the start date to match the one in the campaign tab, [Camp/Dep/Platform/Instmnt]: I couldn’t find anything about Citation’s deployment base, but I may have just missed it, the science plan says DC-8 was deployed out of Bangor, Maine";CW;11-13-19;SB, SW
GOES-R PLT;GOES-R Post Launch Test;"The GOES-R Post Launct Test (GOES-R PLT) campaign focused on validation observations for the Geostationary Lightning Mapper (GLM) and the Advanced Baseline Imager (ABI). Flights occurred over the continental US during the spring of 2017. Airborne sensors included NASA’s AVIRIS, FEGS, and multiple wavelengths of radars and lidar, while ground-based lightning mapping arrays also supported the GLM and ABI validation. GOES-R/GOES-16 is a joint mission of NASA and NOAA; NASA participated in GOES-R PLT with many instruments and an ER-2 aircraft.";The GOES-R PLT campaign sought to provide ground validation for two instruments aboard the GOES-R (now GOES-16) satellite. The Geostationary Lightning Mapper (GLM) and the Advanced Baseline Imager (ABI) were the main focus of this campaign. Aircraft and ground based platforms were used to provide ground validation data over the continental United States. The GOES-R PLT was in support of the GOES-R mission.;Weather, Global Water & Energy Cycle;Lightning, ground validation, solar irradiance, spectral irradiance, cloud observations, multi-surface and phenomenology observations;Continental United States;50, 24, -66, -125;boreal spring, warm;3/21/2017;5/17/2017;1;3/23/2017, 3/28/2017, 4/13/2017, 4/29/2017, 5/12/2017, 5/14/2017, 5/17/2017;NOAA, NASA;;NID;Francis Padula;NID;Satellite, Aircraft, Land-based Platforms;ER-2;AVIRIS, S-HIS, FEGS, LIP, CPL, CRS, EXRAD, GCAS;GOES-R, ground stations;GLM, ABI, LMA;16;Lightning, atmospheric electricity, solar irradiance, spectral irradiance, lightning, albedo, atmospheric radiation, atmospheric water vapor, cloud properties, cloud radiative transfer, convective clouds/systems (observed/analyzed), clouds, precipitation, surface radiative properties;1210, 1212, 1250, 1252, 1562, 1232, 1256, 1332, 1428, 1436, 1458, 1502, 1542, 2904;http://dx.doi.org/10.5067/GOESRPLT/DATA101;;;;https://doi.org/10.1109/IGARSS.2017.8126955;;17;;GHRC;https://ghrc.nsstc.nasa.gov/home/field-campaigns/goes-r_plt;;"https://ghrc.nsstc.nasa.gov/home/micro-articles/goes-r-post-launch-test-plt
https://www.goes-r.gov/";YES;NOAA;https://www.noaa.gov/;FALSE;1d281ec3-287f-4738-8076-dc1b9f38c77d;Campaign GCMD UUID is for the entire GOES campaign, not specific to GOES-R PLT. GOES-R PLT had 16 flights, but navigation data is not available for one of these (Flight #10 over Huntsville, AL - see IEEE overview publication). One of last paragraphs of the IEEE publication mentions there was also a UAS component to this campaign, but there are few details on that platform included.;"GOES-R is now referred to as GOES-16. AVIRISng was used during iop_1 and AVIRISc was used during iop_2 - both noted as ""AVIRIS"" in instruments tab here.";SB;12/13/2019;CW
GRIP;Genesis and Rapid Intensification Processes;The Genesis and Rapid Intensification Processes (GRIP) campaign focused on airborne observations of intensifying tropical cyclones to better understand the processes involved and predictability of rapid intensification. GRIP had a single deployment over August and September of 2010, with data taken in systems occurring in the Gulf of Mexico, Atlantic, Caribbean Sea, and one event in the Northeast Pacific. GRIP was the first research field campaign to use the Global Hawk platform over tropical cyclones. Airborne observations included radar, radiometers, dropsondes, and in situ observations. GRIP supported NASA’s Hurricane science and TRMM missions.;The Genesis and Rapid Intensification Processes (GRIP) experiment was conducted to better understand how tropical storms form and develop into major hurricanes. Primary focus of GRIP was the genesis and rapid intensification of hurricanes in the northern Atlantic Ocean basin. This campaign was conducted to capitalize on emerging airborne science platforms and space-based assets. The two major goals were to (1) improve understanding of the environmental (e.g., vertical wind shear, upper-level outflow jets, low- to mid-level moisture, upper-level troughs), oceanic (e.g. warm ocean eddies), and inner-core (e.g., convective bursts, mesovortices) factors that govern RI and (2) assess the predictability of RI, including what observations would be most critical to its prediction.;Weather;Tropical cyclones, tropical storms, hurricanes, rapid intensification, precipitation;Tropical Atlantic, Gulf of Mexico, Eastern North Pacific, Caribbean Sea;40, 0, -60, -130;boreal summer, boreal fall;8/15/2010;9/25/2010;1;08/29/2010, 08/30/2010, 09/01/2010, 09/02/2010, 09/06/2010, 09/07/2010, 09/16/2010, 09/17/2010;NASA;;Ramesh Kakar;Scott Braun;NID;Aircraft, Satellites;DC-8, WB-57, GH;"DC-8: LARGE, MMS, APR-2, DAWN, LASE, CAPS, CSI, PIP probe, Dropsonde
WB-57: HIRAD
GH: LIP, HIWRAP, HAMSR";;;16;Hurricanes, Maximum Surface Wind, Tropical Cyclones, Tropical Cyclones;2543, 1614, 1674, 2547;;;;;https://journals.ametsoc.org/doi/full/10.1175/BAMS-D-11-00232.1;Hurricanes, TRMM, PMM;23;;GHRC;https://ghrc.nsstc.nasa.gov/home/field-campaigns/GRIP;;"https://ghrc.nsstc.nasa.gov/home/field-campaigns/grip
https://www.nasa.gov/mission_pages/hurricanes/missions/grip/overview/index.html 
https://www.nasa.gov/mission_pages/hurricanes/missions/grip/news/grip-preview.html";N/A;N/A;N/A;FALSE;d9d345a7-c1ca-4377-ab3d-f9fb6a2f331f;does not appear to have a DOI.;;AK;1/21/2020;SW
HS3;Hurricane and Severe Storm Sentinel;The Hurricane and Severe Storm Sentinel (HS3) was a NASA Earth Venture-Suborbital investigation that focused on improving the understanding of the physical processes controlling hurricane intensity change and answering questions related to the roles environmental conditions and internal storm structures play in storm intensification. HS3 involved a variety of airborne data complemented by in-situ and satellite observations as well as meteorological analyses, and simulation data. HS3 consisted of three summer to early fall deployments (Aug - Sep 2012, 2013, 2014) during which observations were obtained from 21 flights over 9 named storms as well as Saharan Air Layer (SAL) outbreaks and nondeveloping systems.;3 deployments over 3 summers in 2012-2014. campaign to study hurricanes in atlantic and gulf of mexico. HS3 flew 21 missions over 9 named storms, along with flights over two non-developing systems and several Saharan Air Layer (SAL) outbreaks;Weather;Hurricane, Tropical Cyclone, Storm intensity, storm structure;Subtropical Atlantic Ocean and Gulf of Mexico;45,12,-60,-120;boreal fall;9/1/2012;10/31/2014;3;https://espo.nasa.gov/sites/default/files/documents/Table%202.pdf;NASA;EVS-1;Ramesh Kakar;Scott Braun;Helen Conover;remote sensing, in-situ, models, ground-based platforms;Two NASA Global Hawk (GH-AV1 and GH-AV6), WB-57F;GH-AV6: AVAPS, S-HIS, CPL, GH-AV1: HIWRAP, HIRAD, HAMSR, WB-57F: HIRAD, HIWRAP;ground sites, satellite, models, analyses;VLF Receivers, GMAO AOT, NRL Satellite images, CIMSS Cloud Top Height, Overshooting Tops, and Brightness Temperatures products from various satellites;28;precipitation, atmospheric pressure, atmospheric water vapor, clouds, atmospheric winds, atmospheric temperatures, microwave observations, radar reflectivity;1115, 1184, 1218, 1272, 1388, 1424, 1556, 2721, 2739;http://dx.doi.org/10.5067/HS3/DATA101;;;;Braun, S.A., P.A. Newman, and G.M. Heymsfield, 2016: NASA’s Hurricane and Severe Storm Sentinel (HS3) Investigation. Bull. Amer. Meteor. Soc., 97, 2085–2102, https://doi.org/10.1175/BAMS-D-15-00186.1;N/A;15;auto calculated;GHRC;https://ghrc.nsstc.nasa.gov/home/projects/hs3;;navigation data on https://asp-archive.arc.nasa.gov/;N/A;Environment Canada;https://weather.gc.ca/canada_e.html;FALSE;811345d6-480f-4f9f-a57a-d21628198e42;;;DS;8/7/2019;SMW
